,Commodity,Date,Weighted Avg Price,Spring,Summer,Fall,Winter,Commodity Type
1705,PINEAPPLES  ,10/18/2019,0.54,Yes,No,Yes,Yes,Fruit
1131,LIMES  ,10/18/2019,0.5,Yes,Yes,Yes,Yes,Fruit
2057,APPLES RED DELICIOUS,10/18/2019,1.11,Yes,Yes,Yes,Yes,Fruit
1801,PEARS D'ANJOU,10/25/2019,1.01,No,No,Yes,Yes,Fruit
1487,GRAPEFRUIT RED,10/25/2019,0.33,No,No,No,Yes,Fruit
2060,APPLES JONAGOLD,10/25/2019,1.28,Yes,Yes,Yes,Yes,Fruit
2061,APPLES HONEYCRISP,10/25/2019,2.79,Yes,Yes,Yes,Yes,Fruit
2062,APPLES FUJI,10/25/2019,0.98,Yes,Yes,Yes,Yes,Fruit
545,SWEET POTATOES  ,10/25/2019,0.8,No,No,Yes,Yes,Vegetable
600,TOMATILLOS  ,10/25/2019,0.64,No,Yes,No,No,Fruit
337,CARROTS  ,10/25/2019,0.72,Yes,Yes,Yes,Yes,Vegetable
544,SWEET POTATOES  ,10/25/2019,1.68,No,No,Yes,Yes,Vegetable
2572,BANANAS  ,10/25/2019,0.39,Yes,Yes,Yes,Yes,Fruit
1011,ORANGES NAVEL,10/25/2019,0.94,No,No,No,Yes,Fruit
2573,BANANAS  ,10/25/2019,0.85,Yes,Yes,Yes,Yes,Fruit
1010,ORANGES VALENCIA,10/25/2019,0.46,No,No,No,Yes,Fruit
1632,PLUMS  ,10/25/2019,1.47,No,Yes,No,No,Fruit
1798,PEARS BARTLETT,10/25/2019,0.91,No,No,Yes,Yes,Fruit
2066,APPLES GOLDEN DELICIOUS,10/25/2019,1.79,Yes,Yes,Yes,Yes,Fruit
1799,PEARS BARTLETT,10/25/2019,1.51,No,No,Yes,Yes,Fruit
1800,PEARS BOSC,10/25/2019,0.86,No,No,Yes,Yes,Fruit
2058,APPLES RED DELICIOUS,10/25/2019,1.99,Yes,Yes,Yes,Yes,Fruit
2067,APPLES GOLDEN DELICIOUS,10/25/2019,1.99,Yes,Yes,Yes,Yes,Fruit
1258,GRAPES RED GLOBE,10/25/2019,1.5,No,No,Yes,No,Fruit
1537,PEACHES VARIOUS YELLOW FLESH VARIETIES,10/25/2019,0.5,No,Yes,No,No,Fruit
2068,APPLES GRANNY SMITH,10/25/2019,1.37,Yes,Yes,Yes,Yes,Fruit
2069,APPLES GRANNY SMITH,10/25/2019,1.71,Yes,Yes,Yes,Yes,Fruit
2070,APPLES HONEYCRISP,10/25/2019,1.17,Yes,Yes,Yes,Yes,Fruit
2071,APPLES PINK LADY/CRIPPS PINK,10/25/2019,1.99,Yes,Yes,Yes,Yes,Fruit
1132,LIMES  ,10/25/2019,0.57,Yes,Yes,Yes,Yes,Fruit
2064,APPLES GALA,10/25/2019,1.25,Yes,Yes,Yes,Yes,Fruit
1261,GRAPES RED SEEDLESS,10/25/2019,1.9,No,No,Yes,No,Fruit
395,CAULIFLOWER  ,10/25/2019,2.49,No,No,Yes,No,Vegetable
1260,GRAPES BLACK SEEDLESS,10/25/2019,2.71,No,No,Yes,No,Fruit
1259,GRAPES BLACK SEEDLESS,10/25/2019,1.49,No,No,Yes,No,Fruit
1538,PEACHES VARIOUS YELLOW FLESH VARIETIES,10/25/2019,1.99,No,Yes,No,No,Fruit
292,BRUSSELS SPROUTS  ,10/25/2019,2.43,No,No,Yes,Yes,Vegetable
2063,APPLES FUJI,10/25/2019,1.75,Yes,Yes,Yes,Yes,Fruit
2065,APPLES GALA,10/25/2019,1.54,Yes,Yes,Yes,Yes,Fruit
1706,PINEAPPLES  ,10/25/2019,0.64,Yes,No,Yes,Yes,Fruit
1707,PINEAPPLES  ,10/25/2019,0.99,Yes,No,Yes,Yes,Fruit
1262,GRAPES RED SEEDLESS,10/25/2019,2.55,No,No,Yes,No,Fruit
1263,GRAPES WHITE SEEDLESS TYPE,10/25/2019,1.87,No,No,Yes,No,Fruit
1264,GRAPES WHITE SEEDLESS TYPE,10/25/2019,2.56,No,No,Yes,No,Fruit
676,TOMATOES  ,10/25/2019,1.06,No,Yes,No,No,Fruit
675,TOMATOES VINE RIPES,10/25/2019,0.45,No,Yes,No,No,Fruit
674,"TOMATOES VINE RIPES, ON THE VINE",10/25/2019,1.68,No,Yes,No,No,Fruit
673,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,10/25/2019,3.99,No,Yes,No,No,Fruit
2059,APPLES RED DELICIOUS,10/25/2019,1.36,Yes,Yes,Yes,Yes,Fruit
933,ASPARAGUS GREEN,10/25/2019,2.28,Yes,No,No,No,Vegetable
473,CABBAGE ROUND GREEN TYPE,10/4/2019,0.34,Yes,No,Yes,Yes,Vegetable
1539,PEACHES VARIOUS YELLOW FLESH VARIETIES,10/4/2019,1.52,No,Yes,No,No,Fruit
1540,PEACHES VARIOUS WHITE FLESH VARIETIES,10/4/2019,2.49,No,Yes,No,No,Fruit
474,CABBAGE ROUND GREEN TYPE,10/4/2019,0.99,Yes,No,Yes,Yes,Vegetable
1186,LEMONS  ,10/4/2019,0.97,Yes,Yes,Yes,Yes,Fruit
1488,GRAPEFRUIT RED,10/4/2019,0.4,No,No,No,Yes,Fruit
1133,LIMES  ,10/4/2019,0.72,Yes,Yes,Yes,Yes,Fruit
546,SWEET POTATOES  ,10/4/2019,0.88,No,No,Yes,Yes,Vegetable
1271,GRAPES RED GLOBE,10/4/2019,1.5,No,No,Yes,No,Fruit
1013,ORANGES VALENCIA,10/4/2019,0.44,No,No,No,Yes,Fruit
2072,APPLES FUJI,10/4/2019,1.14,Yes,Yes,Yes,Yes,Fruit
2074,APPLES GALA,10/4/2019,1.2,Yes,Yes,Yes,Yes,Fruit
2075,APPLES GALA,10/4/2019,1.46,Yes,Yes,Yes,Yes,Fruit
2076,APPLES GOLDEN DELICIOUS,10/4/2019,1.02,Yes,Yes,Yes,Yes,Fruit
2077,APPLES GRANNY SMITH,10/4/2019,1.1,Yes,Yes,Yes,Yes,Fruit
2078,APPLES GRANNY SMITH,10/4/2019,2.01,Yes,Yes,Yes,Yes,Fruit
2079,APPLES HONEYCRISP,10/4/2019,2.25,Yes,Yes,Yes,Yes,Fruit
2080,APPLES HONEYCRISP,10/4/2019,3.33,Yes,Yes,Yes,Yes,Fruit
2081,APPLES MCINTOSH,10/4/2019,1.99,Yes,Yes,Yes,Yes,Fruit
2082,APPLES RED DELICIOUS,10/4/2019,1.05,Yes,Yes,Yes,Yes,Fruit
934,ASPARAGUS GREEN,10/4/2019,2.61,Yes,No,No,No,Vegetable
1708,PINEAPPLES  ,10/4/2019,0.78,Yes,No,Yes,Yes,Fruit
1633,PLUMS  ,10/4/2019,0.95,No,Yes,No,No,Fruit
681,"TOMATOES VINE RIPES, ON THE VINE",10/4/2019,1.66,No,Yes,No,No,Fruit
680,TOMATOES VINE RIPES,10/4/2019,1.71,No,Yes,No,No,Fruit
679,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,10/4/2019,3.92,No,Yes,No,No,Fruit
678,TOMATOES  ,10/4/2019,1.49,No,Yes,No,No,Fruit
601,TOMATILLOS  ,10/4/2019,0.54,No,Yes,No,No,Fruit
1012,ORANGES NAVEL,10/4/2019,0.88,No,No,No,Yes,Fruit
1802,PEARS D'ANJOU,10/4/2019,1.42,No,No,Yes,Yes,Fruit
1803,PEARS D'ANJOU,10/4/2019,1.79,No,No,Yes,Yes,Fruit
1804,PEARS BOSC,10/4/2019,1.0,No,No,Yes,Yes,Fruit
1805,PEARS BARTLETT,10/4/2019,1.7,No,No,Yes,Yes,Fruit
547,SWEET POTATOES  ,10/4/2019,1.99,No,No,Yes,Yes,Vegetable
1806,PEARS BARTLETT,10/4/2019,1.39,No,No,Yes,Yes,Fruit
1269,GRAPES WHITE SEEDLESS TYPE,10/4/2019,1.74,No,No,Yes,No,Fruit
1268,GRAPES RED SEEDLESS,10/4/2019,2.53,No,No,Yes,No,Fruit
1267,GRAPES RED SEEDLESS,10/4/2019,1.79,No,No,Yes,No,Fruit
1266,GRAPES BLACK SEEDLESS,10/4/2019,2.54,No,No,Yes,No,Fruit
1265,GRAPES BLACK SEEDLESS,10/4/2019,1.87,No,No,Yes,No,Fruit
677,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,10/4/2019,3.99,No,Yes,No,No,Fruit
1270,GRAPES WHITE SEEDLESS TYPE,10/4/2019,2.57,No,No,Yes,No,Fruit
2073,APPLES FUJI,10/4/2019,1.99,Yes,Yes,Yes,Yes,Fruit
1634,PLUMS INTERSPECIFIC TYPE,10/4/2019,1.99,No,Yes,No,No,Fruit
110,BEETS  ,10/4/2019,0.5,No,Yes,Yes,Yes,Vegetable
397,CAULIFLOWER  ,10/4/2019,0.99,No,No,Yes,No,Vegetable
396,CAULIFLOWER  ,10/4/2019,1.29,No,No,Yes,No,Vegetable
79,EGGPLANT  ,10/4/2019,0.5,No,Yes,No,No,Vegetable
338,CARROTS  ,10/4/2019,0.39,Yes,Yes,Yes,Yes,Vegetable
293,BRUSSELS SPROUTS  ,10/4/2019,1.97,No,No,Yes,Yes,Vegetable
2574,BANANAS  ,10/4/2019,0.3,Yes,Yes,Yes,Yes,Fruit
2575,BANANAS  ,10/4/2019,0.98,Yes,Yes,Yes,Yes,Fruit
155,BROCCOLI CROWN CUT,10/4/2019,1.48,Yes,No,Yes,No,Vegetable
154,BROCCOLI  ,10/4/2019,3.69,Yes,No,Yes,No,Vegetable
2714,GARLIC  ,10/4/2019,2.99,Yes,Yes,Yes,No,Vegetable
3,CUCUMBERS  ,10/4/2019,0.79,No,Yes,No,No,Vegetable
1278,GRAPES BLACK SEEDLESS,11/1/2019,1.5,No,No,Yes,No,Fruit
2088,APPLES GRANNY SMITH,11/1/2019,1.67,Yes,Yes,Yes,Yes,Fruit
2089,APPLES GRANNY SMITH,11/1/2019,1.01,Yes,Yes,Yes,Yes,Fruit
2090,APPLES HONEYCRISP,11/1/2019,2.12,Yes,Yes,Yes,Yes,Fruit
2091,APPLES BRAEBURN,11/1/2019,0.79,Yes,Yes,Yes,Yes,Fruit
2092,APPLES RED DELICIOUS,11/1/2019,0.75,Yes,Yes,Yes,Yes,Fruit
2093,APPLES PINK LADY/CRIPPS PINK,11/1/2019,1.49,Yes,Yes,Yes,Yes,Fruit
2094,APPLES PAULA RED,11/1/2019,0.5,Yes,Yes,Yes,Yes,Fruit
111,BEETS  ,11/1/2019,0.4,No,Yes,Yes,Yes,Vegetable
549,SWEET POTATOES  ,11/1/2019,2.62,No,No,Yes,Yes,Vegetable
2096,APPLES HONEYCRISP,11/1/2019,2.93,Yes,Yes,Yes,Yes,Fruit
476,CABBAGE ROUND GREEN TYPE,11/1/2019,0.45,Yes,No,Yes,Yes,Vegetable
475,CABBAGE ROUND GREEN TYPE,11/1/2019,0.99,Yes,No,Yes,Yes,Vegetable
682,TOMATOES  ,11/1/2019,0.67,No,Yes,No,No,Fruit
683,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,11/1/2019,2.99,No,Yes,No,No,Fruit
684,TOMATOES VINE RIPES,11/1/2019,0.79,No,Yes,No,No,Fruit
1187,LEMONS  ,11/1/2019,0.99,Yes,Yes,Yes,Yes,Fruit
398,CAULIFLOWER  ,11/1/2019,1.99,No,No,Yes,No,Vegetable
2087,APPLES GALA,11/1/2019,1.3,Yes,Yes,Yes,Yes,Fruit
935,ASPARAGUS GREEN,11/1/2019,3.99,Yes,No,No,No,Vegetable
936,ASPARAGUS GREEN,11/1/2019,2.41,Yes,No,No,No,Vegetable
548,SWEET POTATOES  ,11/1/2019,0.77,No,No,Yes,Yes,Vegetable
1276,GRAPES RED GLOBE,11/1/2019,1.5,No,No,Yes,No,Fruit
1275,GRAPES RED SEEDLESS,11/1/2019,1.56,No,No,Yes,No,Fruit
156,BROCCOLI CROWN CUT,11/1/2019,1.11,Yes,No,Yes,No,Vegetable
157,BROCCOLI  ,11/1/2019,1.99,Yes,No,Yes,No,Vegetable
602,TOMATILLOS  ,11/1/2019,0.55,No,Yes,No,No,Fruit
1134,LIMES  ,11/1/2019,0.61,Yes,Yes,Yes,Yes,Fruit
1015,ORANGES NAVEL,11/1/2019,1.48,No,No,No,Yes,Fruit
1014,ORANGES VALENCIA,11/1/2019,0.63,No,No,No,Yes,Fruit
2576,BANANAS  ,11/1/2019,0.34,Yes,Yes,Yes,Yes,Fruit
1274,GRAPES RED SEEDLESS,11/1/2019,2.39,No,No,Yes,No,Fruit
1273,GRAPES WHITE SEEDLESS TYPE,11/1/2019,1.42,No,No,Yes,No,Fruit
1272,GRAPES WHITE SEEDLESS TYPE,11/1/2019,2.37,No,No,Yes,No,Fruit
294,BRUSSELS SPROUTS  ,11/1/2019,2.28,No,No,Yes,Yes,Vegetable
2083,APPLES BRAEBURN,11/1/2019,2.49,Yes,Yes,Yes,Yes,Fruit
2084,APPLES FUJI,11/1/2019,1.17,Yes,Yes,Yes,Yes,Fruit
685,"TOMATOES VINE RIPES, ON THE VINE",11/1/2019,1.75,No,Yes,No,No,Fruit
2085,APPLES FUJI,11/1/2019,1.34,Yes,Yes,Yes,Yes,Fruit
2086,APPLES GALA,11/1/2019,0.54,Yes,Yes,Yes,Yes,Fruit
339,CARROTS  ,11/1/2019,0.4,Yes,Yes,Yes,Yes,Vegetable
1277,GRAPES BLACK SEEDLESS,11/1/2019,1.99,No,No,Yes,No,Fruit
686,"TOMATOES VINE RIPES, ON THE VINE",11/1/2019,2.99,No,Yes,No,No,Fruit
2095,APPLES JONAGOLD,11/1/2019,1.79,Yes,Yes,Yes,Yes,Fruit
1808,PEARS D'ANJOU,11/1/2019,1.45,No,No,Yes,Yes,Fruit
1709,PINEAPPLES  ,11/1/2019,0.76,Yes,No,Yes,Yes,Fruit
4,CUCUMBERS  ,11/1/2019,0.99,No,Yes,No,No,Vegetable
2689,CELERY  ,11/1/2019,1.29,Yes,Yes,Yes,Yes,Vegetable
80,EGGPLANT  ,11/1/2019,0.98,No,Yes,No,No,Vegetable
1812,PEARS BARTLETT,11/1/2019,1.35,No,No,Yes,Yes,Fruit
1811,PEARS BARTLETT,11/1/2019,1.92,No,No,Yes,Yes,Fruit
1810,PEARS BOSC,11/1/2019,1.21,No,No,Yes,Yes,Fruit
1809,PEARS BOSC,11/1/2019,1.62,No,No,Yes,Yes,Fruit
1710,PINEAPPLES  ,11/1/2019,0.99,Yes,No,Yes,Yes,Fruit
1807,PEARS D'ANJOU,11/1/2019,1.6,No,No,Yes,Yes,Fruit
1635,PLUMS  ,11/1/2019,0.5,No,Yes,No,No,Fruit
160,BROCCOLI BABY HYBRID TYPE,11/15/2019,2.99,Yes,No,Yes,No,Vegetable
161,BROCCOLI  ,11/15/2019,1.99,Yes,No,Yes,No,Vegetable
603,TOMATILLOS  ,11/15/2019,0.67,No,Yes,No,No,Fruit
1135,LIMES  ,11/15/2019,0.61,Yes,Yes,Yes,Yes,Fruit
1816,PEARS D'ANJOU,11/15/2019,1.04,No,No,Yes,Yes,Fruit
1017,ORANGES NAVEL,11/15/2019,1.56,No,No,No,Yes,Fruit
1016,ORANGES NAVEL,11/15/2019,0.69,No,No,No,Yes,Fruit
1815,PEARS BOSC,11/15/2019,0.89,No,No,Yes,Yes,Fruit
2109,APPLES GALA,11/15/2019,0.9,Yes,Yes,Yes,Yes,Fruit
2108,APPLES GALA,11/15/2019,1.69,Yes,Yes,Yes,Yes,Fruit
2107,APPLES GOLDEN DELICIOUS,11/15/2019,0.88,Yes,Yes,Yes,Yes,Fruit
295,BRUSSELS SPROUTS  ,11/15/2019,1.85,No,No,Yes,Yes,Vegetable
2577,BANANAS  ,11/15/2019,0.46,Yes,Yes,Yes,Yes,Fruit
159,BROCCOLI CROWN CUT,11/15/2019,1.33,Yes,No,Yes,No,Vegetable
1283,GRAPES WHITE SEEDLESS TYPE,11/15/2019,1.54,No,No,Yes,No,Fruit
1284,GRAPES WHITE SEEDLESS TYPE,11/15/2019,3.93,No,No,Yes,No,Fruit
2106,APPLES GOLDEN DELICIOUS,11/15/2019,3.99,Yes,Yes,Yes,Yes,Fruit
1282,GRAPES RED SEEDLESS,11/15/2019,2.18,No,No,Yes,No,Fruit
1281,GRAPES RED SEEDLESS,11/15/2019,1.43,No,No,Yes,No,Fruit
1280,GRAPES RED GLOBE,11/15/2019,0.99,No,No,Yes,No,Fruit
1279,GRAPES BLACK SEEDLESS,11/15/2019,1.39,No,No,Yes,No,Fruit
6,CUCUMBERS  ,11/15/2019,0.33,No,Yes,No,No,Vegetable
5,CUCUMBERS LONG SEEDLESS,11/15/2019,0.69,No,Yes,No,No,Vegetable
550,SWEET POTATOES  ,11/15/2019,0.65,No,No,Yes,Yes,Vegetable
551,SWEET POTATOES  ,11/15/2019,1.74,No,No,Yes,Yes,Vegetable
1188,LEMONS  ,11/15/2019,0.9,Yes,Yes,Yes,Yes,Fruit
112,BEETS  ,11/15/2019,0.5,No,Yes,Yes,Yes,Vegetable
1711,PINEAPPLES  ,11/15/2019,0.69,Yes,No,Yes,Yes,Fruit
2715,GARLIC  ,11/15/2019,0.2,Yes,Yes,Yes,No,Vegetable
2110,APPLES JONAGOLD,11/15/2019,1.49,Yes,Yes,Yes,Yes,Fruit
2104,APPLES HONEYCRISP,11/15/2019,1.39,Yes,Yes,Yes,Yes,Fruit
2098,APPLES FUJI,11/15/2019,0.92,Yes,Yes,Yes,Yes,Fruit
2105,APPLES GRANNY SMITH,11/15/2019,1.59,Yes,Yes,Yes,Yes,Fruit
2097,APPLES GRANNY SMITH,11/15/2019,0.94,Yes,Yes,Yes,Yes,Fruit
479,CABBAGE ROUND GREEN TYPE,11/15/2019,0.99,Yes,No,Yes,Yes,Vegetable
478,CABBAGE ROUND GREEN TYPE,11/15/2019,0.51,Yes,No,Yes,Yes,Vegetable
477,CABBAGE RED TYPE,11/15/2019,0.5,Yes,No,Yes,Yes,Vegetable
690,"TOMATOES VINE RIPES, ON THE VINE",11/15/2019,1.41,No,Yes,No,No,Fruit
689,TOMATOES VINE RIPES,11/15/2019,1.83,No,Yes,No,No,Fruit
1818,PEARS BOSC,11/15/2019,1.99,No,No,Yes,Yes,Fruit
399,CAULIFLOWER  ,11/15/2019,0.99,No,No,Yes,No,Vegetable
1813,PEARS BARTLETT,11/15/2019,1.28,No,No,Yes,Yes,Fruit
1814,PEARS BARTLETT,11/15/2019,1.99,No,No,Yes,Yes,Fruit
687,"TOMATOES VINE RIPES, ON THE VINE",11/15/2019,1.99,No,Yes,No,No,Fruit
688,TOMATOES  ,11/15/2019,1.82,No,Yes,No,No,Fruit
1817,PEARS D'ANJOU,11/15/2019,1.99,No,No,Yes,Yes,Fruit
2099,APPLES BRAEBURN,11/15/2019,0.96,Yes,Yes,Yes,Yes,Fruit
2100,APPLES FUJI,11/15/2019,1.64,Yes,Yes,Yes,Yes,Fruit
1489,GRAPEFRUIT RED,11/15/2019,0.5,No,No,No,Yes,Fruit
2101,APPLES RED DELICIOUS,11/15/2019,0.68,Yes,Yes,Yes,Yes,Fruit
340,CARROTS  ,11/15/2019,0.38,Yes,Yes,Yes,Yes,Vegetable
2103,APPLES JONATHAN,11/15/2019,0.79,Yes,Yes,Yes,Yes,Fruit
938,ASPARAGUS GREEN,11/15/2019,2.88,Yes,No,No,No,Vegetable
937,ASPARAGUS GREEN,11/15/2019,4.99,Yes,No,No,No,Vegetable
2102,APPLES PINK LADY/CRIPPS PINK,11/15/2019,0.88,Yes,Yes,Yes,Yes,Fruit
158,BROCCOLI CROWN CUT,11/15/2019,2.49,Yes,No,Yes,No,Vegetable
296,BRUSSELS SPROUTS  ,11/22/2019,1.22,No,No,Yes,Yes,Vegetable
1189,LEMONS  ,11/22/2019,0.8,Yes,Yes,Yes,Yes,Fruit
939,ASPARAGUS GREEN,11/22/2019,2.06,Yes,No,No,No,Vegetable
342,CARROTS  ,11/22/2019,0.34,Yes,Yes,Yes,Yes,Vegetable
341,CARROTS  ,11/22/2019,0.99,Yes,Yes,Yes,Yes,Vegetable
2115,APPLES GALA,11/22/2019,1.49,Yes,Yes,Yes,Yes,Fruit
1136,LIMES  ,11/22/2019,0.79,Yes,Yes,Yes,Yes,Fruit
2111,APPLES BRAEBURN,11/22/2019,1.49,Yes,Yes,Yes,Yes,Fruit
2122,APPLES RED DELICIOUS,11/22/2019,1.49,Yes,Yes,Yes,Yes,Fruit
2112,APPLES GRANNY SMITH,11/22/2019,1.61,Yes,Yes,Yes,Yes,Fruit
2121,APPLES JONAGOLD,11/22/2019,1.49,Yes,Yes,Yes,Yes,Fruit
2120,APPLES HONEYCRISP,11/22/2019,2.43,Yes,Yes,Yes,Yes,Fruit
2119,APPLES HONEYCRISP,11/22/2019,1.89,Yes,Yes,Yes,Yes,Fruit
2114,APPLES GOLDEN DELICIOUS,11/22/2019,1.68,Yes,Yes,Yes,Yes,Fruit
2117,APPLES FUJI,11/22/2019,1.61,Yes,Yes,Yes,Yes,Fruit
2113,APPLES GRANNY SMITH,11/22/2019,1.17,Yes,Yes,Yes,Yes,Fruit
604,TOMATILLOS  ,11/22/2019,0.55,No,Yes,No,No,Fruit
164,BROCCOLI  ,11/22/2019,1.49,Yes,No,Yes,No,Vegetable
1018,ORANGES NAVEL,11/22/2019,1.5,No,No,No,Yes,Fruit
691,TOMATOES  ,11/22/2019,0.56,No,Yes,No,No,Fruit
692,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,11/22/2019,4.99,No,Yes,No,No,Fruit
693,TOMATOES VINE RIPES,11/22/2019,1.99,No,Yes,No,No,Fruit
694,"TOMATOES VINE RIPES, ON THE VINE",11/22/2019,1.8,No,Yes,No,No,Fruit
163,BROCCOLI BABY HYBRID TYPE,11/22/2019,2.99,Yes,No,Yes,No,Vegetable
2116,APPLES GALA,11/22/2019,0.52,Yes,Yes,Yes,Yes,Fruit
2578,BANANAS  ,11/22/2019,0.69,Yes,Yes,Yes,Yes,Fruit
2579,BANANAS  ,11/22/2019,0.34,Yes,Yes,Yes,Yes,Fruit
162,BROCCOLI CROWN CUT,11/22/2019,2.67,Yes,No,Yes,No,Vegetable
2118,APPLES FUJI,11/22/2019,0.68,Yes,Yes,Yes,Yes,Fruit
1019,ORANGES NAVEL,11/22/2019,1.11,No,No,No,Yes,Fruit
2690,CELERY  ,11/22/2019,1.26,Yes,Yes,Yes,Yes,Vegetable
1821,PEARS BOSC,11/22/2019,1.99,No,No,Yes,Yes,Fruit
1712,PINEAPPLES  ,11/22/2019,0.99,Yes,No,Yes,Yes,Fruit
1713,PINEAPPLES  ,11/22/2019,0.69,Yes,No,Yes,Yes,Fruit
1289,GRAPES BLACK SEEDLESS,11/22/2019,1.97,No,No,Yes,No,Fruit
1288,GRAPES RED SEEDLESS,11/22/2019,2.1,No,No,Yes,No,Fruit
1287,GRAPES RED SEEDLESS,11/22/2019,2.99,No,No,Yes,No,Fruit
1286,GRAPES WHITE SEEDLESS TYPE,11/22/2019,2.21,No,No,Yes,No,Fruit
1820,PEARS BARTLETT,11/22/2019,1.92,No,No,Yes,Yes,Fruit
552,SWEET POTATOES  ,11/22/2019,0.9,No,No,Yes,Yes,Vegetable
553,SWEET POTATOES  ,11/22/2019,1.59,No,No,Yes,Yes,Vegetable
1285,GRAPES WHITE SEEDLESS TYPE,11/22/2019,2.99,No,No,Yes,No,Fruit
1823,PEARS D'ANJOU,11/22/2019,1.44,No,No,Yes,Yes,Fruit
7,CUCUMBERS  ,11/22/2019,0.99,No,Yes,No,No,Vegetable
480,CABBAGE ROUND GREEN TYPE,11/22/2019,0.38,Yes,No,Yes,Yes,Vegetable
1822,PEARS D'ANJOU,11/22/2019,1.89,No,No,Yes,Yes,Fruit
1491,GRAPEFRUIT RED,11/22/2019,0.33,No,No,No,Yes,Fruit
2691,CELERY  ,11/22/2019,1.99,Yes,Yes,Yes,Yes,Vegetable
1490,GRAPEFRUIT RED,11/22/2019,1.29,No,No,No,Yes,Fruit
81,EGGPLANT  ,11/22/2019,0.79,No,Yes,No,No,Vegetable
1824,PEARS BOSC,11/22/2019,1.38,No,No,Yes,Yes,Fruit
1819,PEARS BARTLETT,11/22/2019,1.42,No,No,Yes,Yes,Fruit
1825,PEARS D'ANJOU,11/29/2019,1.44,No,No,Yes,Yes,Fruit
1826,PEARS BOSC,11/29/2019,1.99,No,No,Yes,Yes,Fruit
8,CUCUMBERS LONG SEEDLESS,11/29/2019,0.69,No,Yes,No,No,Vegetable
9,CUCUMBERS  ,11/29/2019,0.69,No,Yes,No,No,Vegetable
605,TOMATILLOS  ,11/29/2019,0.8,No,Yes,No,No,Fruit
1714,PINEAPPLES  ,11/29/2019,0.65,Yes,No,Yes,Yes,Fruit
2580,BANANAS  ,11/29/2019,0.4,Yes,Yes,Yes,Yes,Fruit
1828,PEARS BARTLETT,11/29/2019,2.36,No,No,Yes,Yes,Fruit
1829,PEARS BARTLETT,11/29/2019,1.37,No,No,Yes,Yes,Fruit
695,TOMATOES VINE RIPES,11/29/2019,0.99,No,Yes,No,No,Fruit
2650,APRICOTS  ,11/29/2019,1.0,Yes,Yes,No,No,Fruit
343,CARROTS  ,11/29/2019,0.4,Yes,Yes,Yes,Yes,Vegetable
1021,ORANGES NAVEL,11/29/2019,0.73,No,No,No,Yes,Fruit
1020,ORANGES NAVEL,11/29/2019,1.5,No,No,No,Yes,Fruit
696,TOMATOES VINE RIPES,11/29/2019,1.99,No,Yes,No,No,Fruit
697,"TOMATOES VINE RIPES, ON THE VINE",11/29/2019,1.79,No,Yes,No,No,Fruit
940,ASPARAGUS GREEN,11/29/2019,2.18,Yes,No,No,No,Vegetable
1492,GRAPEFRUIT RED,11/29/2019,0.82,No,No,No,Yes,Fruit
2521,CHERRIES RED VARIETIES,11/29/2019,1.0,No,Yes,No,No,Fruit
1827,PEARS BOSC,11/29/2019,1.35,No,No,Yes,Yes,Fruit
297,BRUSSELS SPROUTS  ,11/29/2019,1.26,No,No,Yes,Yes,Vegetable
2692,CELERY  ,11/29/2019,0.69,Yes,Yes,Yes,Yes,Vegetable
1291,GRAPES RED SEEDLESS,11/29/2019,2.86,No,No,Yes,No,Fruit
2131,APPLES HONEYCRISP,11/29/2019,2.43,Yes,Yes,Yes,Yes,Fruit
555,SWEET POTATOES  ,11/29/2019,0.84,No,No,Yes,Yes,Vegetable
1190,LEMONS  ,11/29/2019,0.79,Yes,Yes,Yes,Yes,Fruit
554,SWEET POTATOES  ,11/29/2019,1.51,No,No,Yes,Yes,Vegetable
1290,GRAPES WHITE SEEDLESS TYPE,11/29/2019,2.17,No,No,Yes,No,Fruit
1292,GRAPES RED SEEDLESS,11/29/2019,2.04,No,No,Yes,No,Fruit
1293,GRAPES BLACK SEEDLESS,11/29/2019,1.78,No,No,Yes,No,Fruit
2133,APPLES RED DELICIOUS,11/29/2019,0.83,Yes,Yes,Yes,Yes,Fruit
400,CAULIFLOWER  ,11/29/2019,0.8,No,No,Yes,No,Vegetable
165,BROCCOLI  ,11/29/2019,1.22,Yes,No,Yes,No,Vegetable
166,BROCCOLI  ,11/29/2019,1.99,Yes,No,Yes,No,Vegetable
2132,APPLES JONAGOLD,11/29/2019,1.49,Yes,Yes,Yes,Yes,Fruit
168,BROCCOLI CROWN CUT,11/29/2019,3.49,Yes,No,Yes,No,Vegetable
2130,APPLES HONEYCRISP,11/29/2019,1.69,Yes,Yes,Yes,Yes,Fruit
2129,APPLES GRANNY SMITH,11/29/2019,1.52,Yes,Yes,Yes,Yes,Fruit
2128,APPLES GRANNY SMITH,11/29/2019,1.18,Yes,Yes,Yes,Yes,Fruit
1137,LIMES  ,11/29/2019,0.84,Yes,Yes,Yes,Yes,Fruit
2127,APPLES GOLDEN DELICIOUS,11/29/2019,0.95,Yes,Yes,Yes,Yes,Fruit
